claim_number,loss_event_id,term_id,reported_at,date_of_loss,reporting_channel,status,line_of_business,severity_tier,total_incurred,fraud_score,assigned_adjuster_id
CA-2026-0000123,0076c80d-2b56-40a8-875c-9be3823bad4a,3209068d-a3dd-4068-6b82-af8bb6c2bf07,2026-06-04T15:30:00Z,2026-06-02T15:30:00Z,MobileApp,PendingCoverageDecision,PersonalAuto,High,6731.55,0.04,ADJ-0007
CA-2026-1000001,f69ae056-5b46-46d0-0284-6a1f2988a008,846233ea-2aba-4b37-8b81-aa20b0f29bd4,2025-08-20T18:33:11Z,2025-08-20T18:33:11Z,Web,Open,PersonalAuto,High,26822.34,0.24,ADJ-0009
CA-2026-1000002,bfb8f71d-9c26-48db-b267-786dfd7595df,cc1126f6-0799-4c81-c4e0-ee14d6d01bac,2026-06-21T04:55:10Z,2026-06-19T04:55:10Z,MobileApp,Open,PersonalAuto,Medium,2548.45,0.18,ADJ-0005
CA-2026-1000003,53b6bf5f-9d63-452b-da9a-c4a8799f7598,648fbe76-1a33-40f5-b3f3-2ae42343f68e,2025-12-09T05:49:46Z,2025-12-06T05:49:46Z,Phone,PendingCoverageDecision,PersonalAuto,Medium,817.54,0.17,ADJ-0002
CA-2026-1000004,0f650d65-84ac-437d-1cbe-bb42b53bc9d9,becf7244-872e-478b-2db8-c3de0da7ba86,2026-03-02T16:48:03Z,2026-02-28T16:48:03Z,Agent,UnderInvestigation,PersonalAuto,High,10539.24,0.16,ADJ-0004
CA-2026-1000005,e933e2f8-6f4f-41c3-cec4-4e5ea46980e6,90f3c553-3360-4d03-dcd5-e9e099bcd1eb,2026-07-18T06:27:00Z,2026-07-15T06:27:00Z,Web,PendingCoverageDecision,PersonalAuto,Low,3200,0.02,ADJ-0005
CA-2026-1000006,bb74a30d-1c99-4462-59ee-a9efb2802e5f,037cc312-78f7-4071-9b65-90b60316c186,2025-09-06T20:31:01Z,2025-09-03T20:31:01Z,Phone,Closed,PersonalAuto,High,7363.95,0.22,ADJ-0009
CA-2026-1000007,e89b2e79-7f6f-4aa6-a2da-e1d11cf09ecc,ed11ab29-36a4-40bd-d185-0e4a2db43d73,2025-12-09T13:17:44Z,2025-12-07T13:17:44Z,Web,PendingPayment,PersonalAuto,Low,2839.47,0.19,ADJ-0005
CA-2026-1000008,35e792ef-1aa3-4be9-7a68-817749913613,dbc619c6-3abd-47ff-d5e3-3b2a21646ad1,2025-08-07T22:08:22Z,2025-08-04T22:08:22Z,Phone,PendingPayment,PersonalAuto,Medium,7743.3,0.61,ADJ-0010
CA-2026-1000009,0a695a52-4954-4993-8208-cec0363e1973,4fc6f91f-49c4-47b0-091e-075add1594ee,2026-03-17T02:41:38Z,2026-03-17T02:41:38Z,Chatbot,Closed,PersonalAuto,Medium,2978.81,0.01,ADJ-0010
CA-2026-1000010,caf912d5-001d-432f-5e22-00defeabf9a0,a2435510-9bf4-410c-ce6d-01559a3ed4e5,2025-12-22T05:32:47Z,2025-12-19T05:32:47Z,Phone,PendingCoverageDecision,PersonalAuto,Medium,7125.29,0,ADJ-0009
CA-2026-1000011,194002e4-df72-4f62-d851-7fe86acfab1b,5a558f38-0367-4401-e137-55198a618c60,2026-07-14T17:53:40Z,2026-07-12T17:53:40Z,Telematics,UnderInvestigation,PersonalAuto,Medium,4579.1,0.22,ADJ-0010
CA-2026-1000012,a33bc360-438d-42fd-fd5b-8db456e9e3c3,55786be6-34d7-4b5a-ba68-06362721a8f2,2026-02-09T14:14:56Z,2026-02-09T14:14:56Z,Telematics,PendingCoverageDecision,PersonalAuto,Low,6591.21,0.85,ADJ-0009
CA-2026-1000013,f258d1b1-7775-4c9e-f0b2-aff3a0bedb69,cdd34508-3dcf-4874-8c3a-63f0f72f0e08,2026-04-15T07:06:58Z,2026-04-14T07:06:58Z,Telematics,PendingPayment,PersonalAuto,Low,3273.44,0.18,ADJ-0010
CA-2026-1000014,81e1e61e-696b-4a61-4383-063a2347d953,c15461ca-1818-45b5-0a41-ce7d69f915f3,2025-07-05T09:24:47Z,2025-07-05T09:24:47Z,Agent,PendingPayment,PersonalAuto,Low,7492.34,0.03,ADJ-0010
CA-2026-1000015,f70efde1-982f-4c9e-5036-7a9459ab51f4,9e98b4e0-9b3a-4fa1-95cc-33ac4826a9be,2026-06-17T00:00:51Z,2026-06-15T00:00:51Z,Chatbot,UnderInvestigation,PersonalAuto,Medium,2425.1,0.22,ADJ-0002
CA-2026-1000016,9a6fa9ae-293e-489b-df1f-946e20b16e23,85a07afc-bd40-4794-77f1-47b7581a63f7,2025-12-22T06:05:35Z,2025-12-20T06:05:35Z,Telematics,PendingCoverageDecision,PersonalAuto,Low,9236.54,0.25,ADJ-0003
CA-2026-1000017,f2bf152e-f8b7-46dd-83d8-f26b99c79b3e,5c462069-a0de-417b-2b00-8e8b95da14ff,2026-01-17T18:29:55Z,2026-01-15T18:29:55Z,Chatbot,Open,PersonalAuto,Low,6250.57,0.13,ADJ-0008
CA-2026-1000018,d5366b54-0ab8-4898-0878-935378321a43,4105d0cf-fc3a-44c2-7c9a-af1a989a96f5,2025-11-13T18:33:45Z,2025-11-13T18:33:45Z,MobileApp,Open,PersonalAuto,Low,1576.94,0.15,ADJ-0008
CA-2026-1000019,23bf78af-e819-489b-f8c9-af1a806bd5c2,e28e97cb-97b4-46e5-a1c8-57a3cf539642,2025-12-15T22:45:12Z,2025-12-14T22:45:12Z,Web,Closed,PersonalAuto,Low,9556.28,0.2,ADJ-0004
CA-2026-1000020,b3a8c764-0406-4366-6199-5ff3197eaa79,0435ab27-f7ab-4e82-986a-85d5048bbda6,2025-09-26T13:26:20Z,2025-09-24T13:26:20Z,Telematics,Open,PersonalAuto,Medium,4373.46,0.21,ADJ-0008
CA-2026-1000021,3262db17-0614-4f89-4420-a536a8ddc4e1,8c4c0a9c-e9e0-464d-5533-05575a0b2c28,2026-03-01T17:15:36Z,2026-02-28T17:15:36Z,Agent,Open,PersonalAuto,High,24386.4,0.16,ADJ-0007
CA-2026-1000022,02fec096-f1ef-469a-7e98-f5f1721b009d,942507ea-8f2a-48ec-c3e6-ac11ce143ed7,2026-04-04T13:53:50Z,2026-04-01T13:53:50Z,Chatbot,UnderInvestigation,PersonalAuto,Medium,4590.42,0.01,ADJ-0004
CA-2026-1000023,1b0cf83d-6211-49d6-78df-82973e0b1aad,4b48aade-d653-4bcf-09a0-3f14288c94b3,2026-08-08T16:20:49Z,2026-08-07T16:20:49Z,Phone,PendingCoverageDecision,PersonalAuto,Low,2558.44,0,ADJ-0008
CA-2026-1000024,52fa9ac6-3d65-49d2-5483-7154fc7a955b,6b28e3c7-e4ff-4541-3daf-fc78a6a02e96,2026-08-15T21:18:51Z,2026-08-15T21:18:51Z,MobileApp,UnderInvestigation,PersonalAuto,Medium,3377.82,0.22,ADJ-0002
CA-2026-1000025,d393aa14-0e8d-48dc-8484-8860b4dd9b7f,31666af4-101f-4eaf-02fe-4919a34897e7,2026-02-11T04:24:42Z,2026-02-09T04:24:42Z,Phone,PendingCoverageDecision,PersonalAuto,Low,1435.51,0.2,ADJ-0009
CA-2026-1000026,f9ebd4cc-33c6-4ef9-7ad6-509ed6bba17b,67a76ae5-6ee0-4302-dc1f-86fa186ebe73,2026-07-24T01:57:41Z,2026-07-21T01:57:41Z,Agent,Open,PersonalAuto,Medium,4469.88,0.05,ADJ-0010
CA-2026-1000027,e0105a12-46b5-40f6-ba2f-cf2bd3a60d8f,65af624f-fa69-44f3-4dc1-a38b0e249ed4,2026-01-26T09:06:29Z,2026-01-23T09:06:29Z,Agent,PendingCoverageDecision,PersonalAuto,Medium,8159.84,0.19,ADJ-0004
CA-2026-1000028,d8ce52e9-fba8-4bc4-e0e7-ae3565a35fea,b00030f3-694e-4d47-b33b-3bffa0a9435f,2025-06-28T04:24:04Z,2025-06-27T04:24:04Z,Phone,Open,PersonalAuto,Low,1785.92,0.02,ADJ-0001
CA-2026-1000029,7a30620d-f561-4a39-6d73-3c6fffc32da8,180d9718-7d59-4b09-5cd6-c1b223565d16,2026-03-02T21:23:52Z,2026-02-28T21:23:52Z,Agent,PendingCoverageDecision,PersonalAuto,Medium,5894.32,0.04,ADJ-0008
CA-2026-1000030,e0f46f4f-6b62-4476-cd9f-7ab2db5d0c64,05b64460-cfb2-4e8c-0dc7-3d313c7dc144,2026-06-20T15:43:01Z,2026-06-19T15:43:01Z,Telematics,Closed,PersonalAuto,Medium,6424.02,0.16,ADJ-0002
CA-2026-1000031,e6df7e48-0739-4c7d-777f-c684f508abc8,292f01e1-f555-4264-bbc6-b85ea8d9977a,2025-12-27T02:35:37Z,2025-12-26T02:35:37Z,Phone,PendingPayment,PersonalAuto,Medium,3819.36,0.21,ADJ-0008
CA-2026-1000032,81965b7d-8900-4abc-1c15-3276d6968a8c,7174840f-e0a5-4641-3e97-e122158b5c5e,2026-06-28T20:39:13Z,2026-06-26T20:39:13Z,Web,Open,PersonalAuto,Medium,9220.06,0.08,ADJ-0010
CA-2026-1000033,16a9926c-edb7-4600-3135-a782c19e2537,55786be6-34d7-4b5a-ba68-06362721a8f2,2026-06-12T17:41:40Z,2026-06-11T17:41:40Z,Web,Closed,PersonalAuto,Medium,3674.73,0.05,ADJ-0003
CA-2026-1000034,5041f16a-4478-4b0c-0379-816b91f04b11,3209068d-a3dd-4068-6b82-af8bb6c2bf07,2025-12-28T15:04:39Z,2025-12-28T15:04:39Z,Web,Closed,PersonalAuto,Medium,2940.52,0.16,ADJ-0005
CA-2026-1000035,7ceb5ed5-54af-4862-f979-82eb0e1fadab,7971781d-675b-4aec-c7cb-bb286f6d0991,2025-12-23T11:49:00Z,2025-12-23T11:49:00Z,Telematics,Closed,PersonalAuto,Low,5421.84,0.01,ADJ-0003
CA-2026-1000036,942c6ffc-606a-47ee-3abd-793a92cbb0e2,77564029-9ca7-4eae-686f-1483270f86c2,2026-01-04T13:19:59Z,2026-01-02T13:19:59Z,MobileApp,UnderInvestigation,PersonalAuto,Low,3683.46,0.07,ADJ-0003
CA-2026-1000037,9283a5a0-b735-4995-2734-b132c92b05ee,1d3d724b-9f8e-4171-cbfc-5f4a7c53e59e,2025-10-30T11:08:45Z,2025-10-27T11:08:45Z,Phone,PendingPayment,PersonalAuto,Medium,5329.25,0.09,ADJ-0010
CA-2026-1000038,a7ff36af-0b6e-4e31-66f9-c3bec95c6b4c,f56c1b50-e177-46d4-21ee-0439aac9ff5b,2026-06-22T14:32:56Z,2026-06-19T14:32:56Z,Telematics,PendingPayment,PersonalAuto,Medium,2570.68,0.23,ADJ-0010
CA-2026-1000039,e4cd7cb5-efb7-4a30-a590-a81aaf869d6d,4105d0cf-fc3a-44c2-7c9a-af1a989a96f5,2025-11-20T06:39:40Z,2025-11-19T06:39:40Z,Chatbot,PendingPayment,PersonalAuto,High,8236.25,0.13,ADJ-0010
CA-2026-1000040,e05bdb4f-b438-4d9e-afc9-33d2963c78d7,ff708536-549e-4ef9-389c-853d5d07082c,2026-05-06T18:23:59Z,2026-05-05T18:23:59Z,Agent,Open,PersonalAuto,Medium,5993.19,0.25,ADJ-0010
CA-2026-1000041,fee22669-a87e-48be-5871-443b51f97b2a,1f9e0de5-8c60-4aae-e613-6e6d7d8e325a,2025-10-26T20:05:22Z,2025-10-26T20:05:22Z,MobileApp,PendingPayment,PersonalAuto,Low,4595.38,0.03,ADJ-0002
CA-2026-1000042,08fa6382-4378-4e0b-a2ab-203717e88722,ff708536-549e-4ef9-389c-853d5d07082c,2025-12-14T17:08:43Z,2025-12-11T17:08:43Z,Agent,UnderInvestigation,PersonalAuto,Medium,7977.38,0.21,ADJ-0006
CA-2026-1000043,839d0d0c-db6a-48a7-9030-d964d76df802,6bf00f27-6e68-4709-9b58-8e88c7cc28ec,2026-01-06T10:15:09Z,2026-01-03T10:15:09Z,Web,Open,PersonalAuto,Low,6062.87,0.08,ADJ-0010
CA-2026-1000044,d41f6bc4-c4cd-413b-ac59-11a00ab7988f,24204048-f0ae-45c2-1660-ac087921bc6f,2025-12-11T09:24:08Z,2025-12-11T09:24:08Z,Telematics,Closed,PersonalAuto,Low,3879.35,0.16,ADJ-0007
CA-2026-1000045,b7ed103c-e76a-4f2a-13bf-fbe5e511d653,cdd34508-3dcf-4874-8c3a-63f0f72f0e08,2026-04-06T11:09:30Z,2026-04-03T11:09:30Z,Telematics,Closed,PersonalAuto,Low,4712.41,0,ADJ-0009
CA-2026-1000046,57a892e1-f52c-4d47-2ed9-0433ee5821a6,180d9718-7d59-4b09-5cd6-c1b223565d16,2026-04-25T11:16:39Z,2026-04-24T11:16:39Z,MobileApp,PendingCoverageDecision,PersonalAuto,Medium,3799.52,0.74,ADJ-0008
CA-2026-1000047,4522b298-75eb-4192-691a-a037771c3971,1798baa5-cc56-44d1-4bf6-e08b5ce9094d,2026-07-05T00:52:52Z,2026-07-04T00:52:52Z,Chatbot,PendingPayment,PersonalAuto,Medium,7086.46,0.02,ADJ-0003
CA-2026-1000048,c374fe06-797b-451d-cd21-d06bd92eca42,b8979cd3-6713-4700-a5aa-8a743598eeb6,2026-02-13T10:44:31Z,2026-02-13T10:44:31Z,Chatbot,UnderInvestigation,PersonalAuto,Low,5339.04,0.8,ADJ-0009
CA-2026-1000049,590f100e-4c12-446b-62cc-6a1900b6cff2,ac114033-d1bb-482c-095a-c887b3416fd1,2026-07-17T15:59:57Z,2026-07-15T15:59:57Z,Phone,Open,PersonalAuto,Low,3576.1,0.18,ADJ-0006
CA-2026-1000050,4afb7053-c95a-4d66-d7bc-61e34e107659,725ab8e4-ad8c-4a61-4a6f-a88e7722cc37,2026-03-01T14:10:37Z,2026-03-01T14:10:37Z,Agent,Open,PersonalAuto,High,16435.37,0.17,ADJ-0003
CA-2026-1000051,62a053f6-7e59-4071-8019-6c2b29f26be5,919e1cc9-af36-4d58-e498-dcaa38665cdd,2025-11-08T02:53:24Z,2025-11-05T02:53:24Z,Phone,Open,PersonalAuto,High,22825.18,0.16,ADJ-0007
