coverage_id,term_id,coverage_code,limit_per_occurrence,limit_per_person,deductible,rental_daily_limit,rental_max_days
a93d3c75-ff2f-4dc5-2bb2-2ca1f504cdfd,3209068d-a3dd-4068-6b82-af8bb6c2bf07,COLL,50000,,500,,
eff513ea-bf0d-4027-ee99-c02cf9a26784,3209068d-a3dd-4068-6b82-af8bb6c2bf07,COMP,30000,,250,,
7f2b517e-bb52-4d41-c806-c9f71bea4fa4,3209068d-a3dd-4068-6b82-af8bb6c2bf07,RENT,1200,,,40,30
7470f58d-01cf-4c4e-16cf-207f033fe945,3209068d-a3dd-4068-6b82-af8bb6c2bf07,TOW,150,,,,
b8336726-a1fb-43b4-8736-9339779092e3,cc0ace92-683a-4ecc-4374-97ab75fee095,COLL,50000,,500,,
5465ff32-1626-4f45-bc1c-a535fba1201d,cc0ace92-683a-4ecc-4374-97ab75fee095,COMP,30000,,250,,
d8e59edd-2d79-46ae-0c83-5123e0f9a091,cc0ace92-683a-4ecc-4374-97ab75fee095,RENT,1200,,,40,30
d6df39b3-a16d-4815-8f33-6ddbe3b796bc,65af624f-fa69-44f3-4dc1-a38b0e249ed4,COLL,50000,,500,,
fd09907f-842a-4dec-48c9-f8a615bd8d72,65af624f-fa69-44f3-4dc1-a38b0e249ed4,COMP,30000,,500,,
12fa2bc3-066d-43ef-ae84-449bee85d07d,65af624f-fa69-44f3-4dc1-a38b0e249ed4,RENT,1200,,,40,30
c0e67e60-7cd8-4d85-1be3-f8c7f413d041,bce89f06-e7bc-41fc-1aef-4199cc37a156,COLL,30000,,1000,,
a894d397-32cf-48c1-89b1-f901132e0c05,bce89f06-e7bc-41fc-1aef-4199cc37a156,COMP,25000,,500,,
84370424-c596-4a43-1543-0c0febb6d516,bce89f06-e7bc-41fc-1aef-4199cc37a156,RENT,1200,,,40,30
3ebfa2f7-802a-4c75-204d-bc2799f208e7,bce89f06-e7bc-41fc-1aef-4199cc37a156,TOW,150,,,,
31ffdff1-50dc-40d3-4d85-e739876447ad,1d3d724b-9f8e-4171-cbfc-5f4a7c53e59e,COLL,50000,,500,,
4daf4459-c591-41dd-496b-06d4be7bc137,1d3d724b-9f8e-4171-cbfc-5f4a7c53e59e,COMP,25000,,500,,
2e577a57-f83e-4cfd-8905-775f63879433,1d3d724b-9f8e-4171-cbfc-5f4a7c53e59e,RENT,1200,,,40,30
f10f7434-0742-4fd3-36d6-b267df6aed25,93bbc29e-9658-44c1-18cd-b9f0b1d9e862,COLL,30000,,500,,
d07395c9-8aa4-4f42-617d-761aeb48f753,93bbc29e-9658-44c1-18cd-b9f0b1d9e862,COMP,30000,,500,,
47a8943f-bc94-4550-4ce0-8b0e778fdf37,93bbc29e-9658-44c1-18cd-b9f0b1d9e862,RENT,1200,,,40,30
1dcc372f-e102-4bd0-36eb-87fd476f84ec,6bf00f27-6e68-4709-9b58-8e88c7cc28ec,COLL,50000,,500,,
03ada29b-ccc3-4e88-7068-ab2aca3b0f33,6bf00f27-6e68-4709-9b58-8e88c7cc28ec,COMP,25000,,500,,
4eef4361-ac46-42bc-c1e9-b02f90306669,6bf00f27-6e68-4709-9b58-8e88c7cc28ec,RENT,1200,,,40,30
6e08ca73-2500-4ffa-daf2-20b49b43a743,31178cbc-2e0e-4786-4a8f-64f9808f17f8,COLL,50000,,1000,,
b941b6bc-cc8f-4cb7-a194-fd65d3353381,31178cbc-2e0e-4786-4a8f-64f9808f17f8,COMP,30000,,500,,
cc6ddd28-566b-46e6-0898-0fb46f70b8e3,31178cbc-2e0e-4786-4a8f-64f9808f17f8,RENT,1200,,,40,30
9aa42a80-2e21-4675-a1f8-3c857910f341,aa3185d6-9ad3-4bb0-abe0-bfc44cd1741c,COLL,30000,,1000,,
88855563-6913-4138-0a04-0b3d8c414c70,aa3185d6-9ad3-4bb0-abe0-bfc44cd1741c,COMP,30000,,250,,
dd216f01-ff6f-4c28-69d9-bb431841f0ab,aa3185d6-9ad3-4bb0-abe0-bfc44cd1741c,RENT,1200,,,40,30
cede5193-7957-420d-0795-ccb83886cbc3,aa3185d6-9ad3-4bb0-abe0-bfc44cd1741c,TOW,150,,,,
6f858f85-515d-4f97-82f8-ce06a6ec7803,396c0a07-919e-4958-3fd6-4b8e6a207379,COLL,50000,,1000,,
909d6b0a-5fcd-42b5-d944-8af85c9fdf25,396c0a07-919e-4958-3fd6-4b8e6a207379,COMP,30000,,250,,
9c6c7732-5c04-424c-0fa6-60e45c20f4c6,396c0a07-919e-4958-3fd6-4b8e6a207379,RENT,1200,,,40,30
9f5c61a2-27f6-415b-454e-775318d16e47,94984395-0c9e-4759-d272-234f79eae14b,COLL,25000,,1000,,
ea598e6a-1b3c-42c3-78a6-e49b79f4d045,94984395-0c9e-4759-d272-234f79eae14b,COMP,25000,,500,,
a36a6b2a-ef93-4027-5046-0d31649a41b9,94984395-0c9e-4759-d272-234f79eae14b,RENT,1200,,,40,30
57e41cca-3f1e-4ed8-e434-867ed294a18c,ed11ab29-36a4-40bd-d185-0e4a2db43d73,COLL,50000,,1000,,
b2d3856f-8caf-4878-85f7-16611ea53ac6,ed11ab29-36a4-40bd-d185-0e4a2db43d73,COMP,25000,,250,,
