part_id,damage_id,part_name,damage_severity,labor_hours,part_cost
4ae69fe7-f4f6-4b5f-4e32-5eafac0ba030,9e0adab0-d556-40dd-7a33-1b8118fc5f43,Rear Bumper,Severe,5.96,1850
4cac41d7-b19a-43fd-b17b-0ccb449f94cd,9e0adab0-d556-40dd-7a33-1b8118fc5f43,Trunk Lid,Severe,4.72,1420
3a0c98e9-0aa1-4730-bcd6-8441bcc35779,9e0adab0-d556-40dd-7a33-1b8118fc5f43,Left Quarter Panel,Moderate,3.63,980
2b4826e3-4aca-47d7-890c-32ffa0533722,9e0adab0-d556-40dd-7a33-1b8118fc5f43,Right Quarter Panel,Severe,2.95,760
03583feb-eced-4614-348f-0d6b99a56bde,9e0adab0-d556-40dd-7a33-1b8118fc5f43,Tail Light Assy,Minor,3.38,540
0e0a75dc-287b-4d67-26f1-15e495254ae8,9e0adab0-d556-40dd-7a33-1b8118fc5f43,Rear Sensor,Minor,7.27,1181.55
03e4287c-5ef0-4aa7-9515-78ce77bcc8ec,1bc06af1-cab5-4e61-49b8-a891b38e9a63,Windshield,Severe,1.05,1021.11
28e8c9c7-3e68-4c60-da3b-2035bab30241,1bc06af1-cab5-4e61-49b8-a891b38e9a63,Front Bumper,Minor,0.81,8429.43
2fedb613-f8c4-402e-446a-8d27095c51f6,1bc06af1-cab5-4e61-49b8-a891b38e9a63,Rear Bumper,Moderate,1.5,9783.71
80d45be3-5ed3-4397-0d23-8d0e203db78d,1bc06af1-cab5-4e61-49b8-a891b38e9a63,Rear Sensor,Moderate,0.51,2899.72
03a9a8c9-7944-4012-cf94-07e071db9a26,1bc06af1-cab5-4e61-49b8-a891b38e9a63,Left Quarter Panel,Minor,4.83,4688.37
ae1d9589-5b9d-4f0b-39ee-fe82e153c7a1,95410b1e-3b02-420c-b9de-30017b5d8fac,Rear Sensor,Moderate,2.48,307.25
cbcb6d11-e856-4a32-1fa9-255633b2bd57,95410b1e-3b02-420c-b9de-30017b5d8fac,Windshield,Minor,7.07,968.67
a789f540-14e9-4459-4495-ab8e22cb120f,95410b1e-3b02-420c-b9de-30017b5d8fac,Right Quarter Panel,Minor,4.83,1272.53
53f33f36-1704-462b-84c1-cb8da3b32b70,44f7e8a1-6429-4895-2aac-820b33dce042,Trunk Lid,Severe,7.29,503.68
759f08a1-baf7-475d-1722-0ce3f7f1e784,44f7e8a1-6429-4895-2aac-820b33dce042,Right Quarter Panel,Severe,2.26,313.86
7e3f1604-9c02-4866-9d62-f0aa347c9712,d4e4b757-23b2-4e72-05de-467a8beb0f16,Rear Sensor,Severe,3.94,5923.04
f377fa2a-ca20-42d3-a423-8384131ccd0e,d4e4b757-23b2-4e72-05de-467a8beb0f16,Rear Bumper,Minor,7.5,4616.2
cea6ec6e-59b5-4e7e-6577-98ead4648540,bc7c3602-b4ab-4dbe-1ecb-83c216659e7e,Left Quarter Panel,Severe,3.67,239.55
b8ea9290-48de-4d34-0d8f-5bf61fadea07,bc7c3602-b4ab-4dbe-1ecb-83c216659e7e,Left Door,Moderate,1.24,1814.11
afb6e66f-6666-4f57-ceee-5f11bdfbda40,bc7c3602-b4ab-4dbe-1ecb-83c216659e7e,Hood,Severe,5.64,400.28
c4a0060d-0198-4cfd-6d4c-6e01b2789b26,bc7c3602-b4ab-4dbe-1ecb-83c216659e7e,Right Quarter Panel,Minor,3.63,746.06
024fffac-1a60-4103-9b88-d2f3680e676f,c5a720e5-c735-4995-3989-f20e1281c0be,Right Quarter Panel,Minor,7.99,1309.12
2882710c-8976-457a-f45c-492193ac33b7,c5a720e5-c735-4995-3989-f20e1281c0be,Windshield,Severe,7.21,5103.13
b8944c3d-66cb-4b99-960e-b6789baf06b3,c5a720e5-c735-4995-3989-f20e1281c0be,Left Quarter Panel,Severe,1.18,951.7
33943ba5-6f04-4e4f-77e3-70da41bec0c2,cab53dd0-0647-4678-db8d-ba98b7e5013f,Front Bumper,Severe,2.65,1246.6
4e316beb-3f71-4e34-1124-a30e762d805b,cab53dd0-0647-4678-db8d-ba98b7e5013f,Hood,Moderate,1.12,1592.87
44b5beca-e27f-4e77-d366-c9b52cf48f37,590b5833-9e3a-4346-a44f-450fec733921,Left Quarter Panel,Severe,6.01,894.43
76409f7a-1fc7-4133-961e-1ff1a6710fc5,590b5833-9e3a-4346-a44f-450fec733921,Trunk Lid,Severe,3.89,1157.95
1e9f0b47-1210-4ab0-e61c-19a54122d46c,590b5833-9e3a-4346-a44f-450fec733921,Trunk Lid,Severe,5.74,1478.47
d8ca2cc3-24a0-428d-d59b-81f4b0ffa557,590b5833-9e3a-4346-a44f-450fec733921,Trunk Lid,Minor,5.73,1000.51
f68094e1-ec32-4d5b-a809-e5737c9e77a5,590b5833-9e3a-4346-a44f-450fec733921,Right Quarter Panel,Minor,7.89,1342.18
b51aec5d-bba5-4ca5-a516-41e0000b030d,590b5833-9e3a-4346-a44f-450fec733921,Left Quarter Panel,Moderate,1.22,470.53
948291dc-06fe-4c5b-e8f5-c09f7efb6bad,590b5833-9e3a-4346-a44f-450fec733921,Windshield,Minor,3.07,1399.23
1963bea1-1a4f-4354-4dbf-8f36e61e229c,e03b9852-3e22-4e6f-6dc8-5e05454b877f,Left Door,Moderate,4.03,1564.22
f3077db9-9c03-481a-1f43-6ca9036401db,e03b9852-3e22-4e6f-6dc8-5e05454b877f,Front Bumper,Moderate,7.58,400.53
a4e6717d-4b50-4793-c295-5224faba99f0,e03b9852-3e22-4e6f-6dc8-5e05454b877f,Tail Light Assy,Minor,3.98,428.84
d51b71b4-3b42-4190-3c63-0ba8a9548af7,e03b9852-3e22-4e6f-6dc8-5e05454b877f,Windshield,Moderate,3.02,585.22
a1ebcfbe-2da5-4187-e695-228df2c7dd32,a02cf8a6-26ff-4900-8b91-bdaa3140c630,Left Quarter Panel,Minor,5.84,1190.22
7f41994b-68ab-470e-ad99-9b64f0f5f61a,a02cf8a6-26ff-4900-8b91-bdaa3140c630,Rear Bumper,Minor,3.07,1592.98
2b986589-b633-4644-b8c8-93ecbd64c71b,a02cf8a6-26ff-4900-8b91-bdaa3140c630,Trunk Lid,Minor,7.38,1111.52
a507e72d-ed91-4144-164d-4a0b28ddb815,a02cf8a6-26ff-4900-8b91-bdaa3140c630,Rear Sensor,Moderate,5.14,552.46
5aec3553-53ad-4493-e49b-371d229787f8,a02cf8a6-26ff-4900-8b91-bdaa3140c630,Windshield,Severe,3.96,497.97
3363a55a-1a72-4ecc-da42-ef5c1b46b3b3,a02cf8a6-26ff-4900-8b91-bdaa3140c630,Front Bumper,Severe,3.44,1610.95
c3d3ca39-c1d7-492f-b710-3e405eb52894,a02cf8a6-26ff-4900-8b91-bdaa3140c630,Hood,Severe,1.48,569.19
e35dfa90-2944-4b00-fccd-0e1fd0dac457,a8960aaf-075c-4c88-d7f0-d182cade240d,Rear Bumper,Severe,6.86,1265.2
b5bdc5bb-0483-4fa0-903a-5acd03fac723,a8960aaf-075c-4c88-d7f0-d182cade240d,Left Door,Moderate,3.17,808.62
1c0b517b-1a84-4ed7-6c6a-7049ff710bfb,a8960aaf-075c-4c88-d7f0-d182cade240d,Hood,Minor,6.51,295.61
27981f25-67bf-481b-07cb-a7e3685fa906,a8960aaf-075c-4c88-d7f0-d182cade240d,Trunk Lid,Moderate,2.62,183.73
51e38df8-2634-48af-4013-fc2a9f897b24,a8960aaf-075c-4c88-d7f0-d182cade240d,Front Bumper,Severe,5.26,296.63
18ebd706-4c46-48e0-6884-aa0ee5e65161,a8960aaf-075c-4c88-d7f0-d182cade240d,Tail Light Assy,Severe,4.17,1729.31
d39cb414-63d3-468a-a8b9-85d245e7545b,4652b0b4-eaa5-441c-9b63-eb57083fcc84,Windshield,Moderate,3.23,1101.18
b58f6095-9830-4588-6fa1-209cd0dc1be0,4652b0b4-eaa5-441c-9b63-eb57083fcc84,Hood,Minor,7.85,1770.55
cf2c2f1c-d3a8-476e-d21d-77286e50226c,4652b0b4-eaa5-441c-9b63-eb57083fcc84,Right Quarter Panel,Minor,6.53,1643.14
77470cde-489e-473a-d86f-96e66241a173,4652b0b4-eaa5-441c-9b63-eb57083fcc84,Rear Sensor,Minor,1.5,307.96
87d6bf76-a0cf-42fe-27c3-9981a1e39d39,4652b0b4-eaa5-441c-9b63-eb57083fcc84,Rear Bumper,Minor,7.45,1768.38
1ffcc9f9-0505-4c74-f000-1b7fc38e0a54,7cbe6c4b-85b3-48a7-5d83-6bc94434cb9b,Left Door,Moderate,7.81,1368.06
73d2dcf1-16e2-45b3-fcf4-057c72df802b,7cbe6c4b-85b3-48a7-5d83-6bc94434cb9b,Right Quarter Panel,Severe,3.7,582.78
cc17a77d-5d60-4d64-2b7e-0d988f0d2ced,7cbe6c4b-85b3-48a7-5d83-6bc94434cb9b,Tail Light Assy,Severe,2.77,720.05
33a16063-c2b9-4afd-ee02-776a92571398,7cbe6c4b-85b3-48a7-5d83-6bc94434cb9b,Right Quarter Panel,Minor,6.95,602.55
130d78ff-92c8-487a-00ff-150fbb31088d,7fa0b8e8-368c-4c0b-5196-aac25f79f21b,Hood,Severe,0.96,1272.9
4dffa271-fcfe-4284-bcaa-b3caed706864,7fa0b8e8-368c-4c0b-5196-aac25f79f21b,Left Quarter Panel,Moderate,2.43,1318.53
05b9c4c1-a0a9-4bfe-3764-aabf4b162238,7fa0b8e8-368c-4c0b-5196-aac25f79f21b,Front Bumper,Moderate,7.11,1310.95
b4ac4730-24cf-431b-aa57-9060253f373f,7fa0b8e8-368c-4c0b-5196-aac25f79f21b,Rear Bumper,Moderate,1.21,1131.05
