evidence_id,claim_number,evidence_type,uri,source,captured_at,pii_redaction_applied
89dd0b2a-22e3-4699-2cc8-3649f883fca6,CA-2026-0000123,photo,onelake://claims/CA-2026-0000123/photo.jpg,claimant-upload,2026-06-04T15:30:00Z,true
f4818f4c-24f8-4d95-4ba2-75eb64bb8ce0,CA-2026-1000001,photo,onelake://claims/CA-2026-1000001/photo.jpg,claimant-upload,2025-08-20T18:33:11Z,true
d6b52152-78f6-4b02-5e15-638827a1ed5f,CA-2026-1000002,photo,onelake://claims/CA-2026-1000002/photo.jpg,claimant-upload,2026-06-21T04:55:10Z,true
53f61ea0-78d3-4e04-9761-98c0bf7ce63f,CA-2026-1000002,dashcam-clip,onelake://claims/CA-2026-1000002/clip,telematics,2026-06-19T04:55:10Z,true
6f4b7f78-f3bc-4607-68b9-311ee4737362,CA-2026-1000003,photo,onelake://claims/CA-2026-1000003/photo.jpg,claimant-upload,2025-12-09T05:49:46Z,true
60e26647-2206-4f2a-a98a-48ff51c7e64c,CA-2026-1000003,dashcam-clip,onelake://claims/CA-2026-1000003/clip,telematics,2025-12-06T05:49:46Z,true
0f5c0d0c-89d4-4d35-2db6-29a7bdf6d82f,CA-2026-1000004,photo,onelake://claims/CA-2026-1000004/photo.jpg,claimant-upload,2026-03-02T16:48:03Z,true
f0d8cdb1-9288-4ffc-52e5-0c634579fbe5,CA-2026-1000004,dashcam-clip,onelake://claims/CA-2026-1000004/clip,telematics,2026-02-28T16:48:03Z,true
e15a5e86-9318-4d90-66b3-56d7b0a7e4dc,CA-2026-1000005,photo,onelake://claims/CA-2026-1000005/photo.jpg,claimant-upload,2026-07-18T06:27:00Z,true
efbb681f-73c8-45e5-8509-ba29052af1a8,CA-2026-1000005,dashcam-clip,onelake://claims/CA-2026-1000005/clip,telematics,2026-07-15T06:27:00Z,true
4e679726-4934-4f7b-60a1-c0afd3b8f2c0,CA-2026-1000006,photo,onelake://claims/CA-2026-1000006/photo.jpg,claimant-upload,2025-09-06T20:31:01Z,true
3bd5cf84-9b0e-453a-9c28-f097c1b22a3f,CA-2026-1000007,photo,onelake://claims/CA-2026-1000007/photo.jpg,claimant-upload,2025-12-09T13:17:44Z,true
e98f971d-1f80-4bfa-7c40-a11c06c37d2f,CA-2026-1000008,photo,onelake://claims/CA-2026-1000008/photo.jpg,claimant-upload,2025-08-07T22:08:22Z,true
49c12124-b08b-4f87-1c46-a66b734abac7,CA-2026-1000009,photo,onelake://claims/CA-2026-1000009/photo.jpg,claimant-upload,2026-03-17T02:41:38Z,true
1c23b2ab-6a15-4299-95de-af645ee457ce,CA-2026-1000009,blackbox-telemetry,onelake://claims/CA-2026-1000009/clip,telematics,2026-03-17T02:41:38Z,true
