exposure_id,claim_number,claimant_id,coverage_id,coverage_code,exposure_type,status,reserve_amount,paid_to_date,opened_at
fa992efa-62a2-4298-cef1-39af2e70b4a6,CA-2026-0000123,52b993ba-d7d3-4c37-cb28-44fa66ed0cd8,a93d3c75-ff2f-4dc5-2bb2-2ca1f504cdfd,COLL,Collision,PendingPayment,6731.55,6231.55,2026-06-04T15:30:00Z
3f4ff80c-049a-4544-f4b0-417657eba293,CA-2026-0000123,52b993ba-d7d3-4c37-cb28-44fa66ed0cd8,7f2b517e-bb52-4d41-c806-c9f71bea4fa4,RENT,Rental,Open,1200,0,2026-06-04T15:30:00Z
9e6486ce-a683-48dd-38ee-879b6b9012df,CA-2026-1000001,d1053161-3a5e-4d4c-cb4e-a30095abf01f,6b8864bb-3e68-4033-d3ff-80973ab996c8,COLL,Collision,Open,26822.34,0,2025-08-20T18:33:11Z
4725c81f-7adb-4b60-d6df-1d0cc2ed70e0,CA-2026-1000002,086a8c9a-302d-4862-f533-3a3ba6f012d8,2aac5fb9-6f69-45fe-45a8-a1cba8c4f070,COLL,Collision,Open,2548.45,0,2026-06-21T04:55:10Z
5c765e48-5c2b-4947-c83e-e3b26318f3aa,CA-2026-1000002,086a8c9a-302d-4862-f533-3a3ba6f012d8,ae298f55-0dae-4bf7-48f8-da8a3ac25ad0,RENT,Rental,Open,1200,0,2026-06-21T04:55:10Z
7c0a8a57-b130-4a2a-5ee1-5b621b584c60,CA-2026-1000003,a15951d2-0400-475b-f53a-2cefd5c93358,a0563484-10b7-49b2-9f54-ce91f42cc109,COLL,Collision,Open,817.54,0,2025-12-09T05:49:46Z
0e87bfdb-23b6-4a56-8644-162cef1bfea5,CA-2026-1000004,cb8ddef7-5e49-49a8-7d3b-5a6094b51a98,2819b9b3-d611-480c-e055-04256d5e510b,COLL,Collision,PendingPayment,10539.24,10039.24,2026-03-02T16:48:03Z
2f084701-d903-491f-ef5c-47d15aed1708,CA-2026-1000004,cb8ddef7-5e49-49a8-7d3b-5a6094b51a98,7c60810b-5092-4158-45ba-dfb29e6ebd64,RENT,Rental,Open,1200,0,2026-03-02T16:48:03Z
218de4a1-93fa-4cee-8046-bf9b24197c75,CA-2026-1000005,df9d8ca2-0da2-4aca-b498-37d1b820bbf7,aef4b90c-abef-4e00-e00f-f606c4621560,COLL,Collision,PendingPayment,3200,2700,2026-07-18T06:27:00Z
0e7b11e0-a074-4eb3-2585-0196561063ea,CA-2026-1000006,d4448907-318a-4ac4-0653-c81ef8d2cd01,9ccb95d9-63ef-4b3b-7597-647956bc5cba,COLL,Collision,PendingPayment,7363.95,6363.95,2025-09-06T20:31:01Z
