loss_event_id,location_id,occurred_at,loss_cause,is_first_party,point_of_impact,description
0076c80d-2b56-40a8-875c-9be3823bad4a,917af426-727e-4dd9-a106-809bd0704c5f,2026-06-02T15:30:00Z,RearEndCollision,true,Rear,Rear-ended on I-405
f69ae056-5b46-46d0-0284-6a1f2988a008,9ffd217b-011f-47a1-1935-70eccdc3bc66,2025-08-20T18:33:11Z,GlassOnly,true,LeftSide,
bfb8f71d-9c26-48db-b267-786dfd7595df,cd9e2f5a-3441-4b4a-745b-6155c29e846a,2026-06-19T04:55:10Z,GlassOnly,true,Rear,
53b6bf5f-9d63-452b-da9a-c4a8799f7598,3f277b9c-ab36-48bd-d74f-37138ccdf2f8,2025-12-06T05:49:46Z,GlassOnly,true,LeftSide,
0f650d65-84ac-437d-1cbe-bb42b53bc9d9,8295721e-3f0c-4fe9-3936-a2b214951251,2026-02-28T16:48:03Z,Theft,true,Rollover,
e933e2f8-6f4f-41c3-cec4-4e5ea46980e6,1a237334-30e2-4e7c-64b9-fffcf3fd4725,2026-07-15T06:27:00Z,ParkedVehicleHit,true,LeftSide,
bb74a30d-1c99-4462-59ee-a9efb2802e5f,4e1ffa93-4715-40fa-8193-079fa998d70d,2025-09-03T20:31:01Z,RearEndCollision,true,Multiple,
e89b2e79-7f6f-4aa6-a2da-e1d11cf09ecc,adbbd058-4904-4e0a-0f1a-b837edff7f28,2025-12-07T13:17:44Z,ParkedVehicleHit,true,Front,
35e792ef-1aa3-4be9-7a68-817749913613,66f3f134-b6f5-4f76-49cf-dfdeee9de1b5,2025-08-04T22:08:22Z,SideImpact,true,RightSide,
0a695a52-4954-4993-8208-cec0363e1973,fa4d6b80-8a64-4d25-20a3-d2ca3c238301,2026-03-17T02:41:38Z,Theft,true,Rear,
caf912d5-001d-432f-5e22-00defeabf9a0,3f741261-cec0-43eb-a0c7-2be0ebc5b68a,2025-12-19T05:32:47Z,ParkedVehicleHit,true,Multiple,
194002e4-df72-4f62-d851-7fe86acfab1b,389eebab-81cc-4869-1403-97ae1c7f236e,2026-07-12T17:53:40Z,AnimalStrike,true,LeftSide,
a33bc360-438d-42fd-fd5b-8db456e9e3c3,841c05ad-fa9a-450e-689d-8f87776b84c2,2026-02-09T14:14:56Z,Hail,true,Rollover,
f258d1b1-7775-4c9e-f0b2-aff3a0bedb69,a170a29c-1273-4359-cbea-46cc65e37700,2026-04-14T07:06:58Z,SingleVehicleRollover,true,Multiple,
81e1e61e-696b-4a61-4383-063a2347d953,5a8a46bd-0571-41a5-6e2d-962b6411118a,2025-07-05T09:24:47Z,RearEndCollision,true,RightSide,
f70efde1-982f-4c9e-5036-7a9459ab51f4,841c05ad-fa9a-450e-689d-8f87776b84c2,2026-06-15T00:00:51Z,Theft,true,RightSide,
9a6fa9ae-293e-489b-df1f-946e20b16e23,87d4d03c-6916-4a73-d0c1-bb3de266d7d4,2025-12-20T06:05:35Z,RearEndCollision,true,LeftSide,
f2bf152e-f8b7-46dd-83d8-f26b99c79b3e,24b33b99-8a34-40f1-ccee-dcf22e2416e5,2026-01-15T18:29:55Z,RearEndCollision,true,Multiple,
d5366b54-0ab8-4898-0878-935378321a43,d7abce22-1dee-45a0-5197-cb12067fb77b,2025-11-13T18:33:45Z,Hail,true,Rollover,
23bf78af-e819-489b-f8c9-af1a806bd5c2,1f0d14fd-c7df-40f8-05b7-05cb0e5d5b65,2025-12-14T22:45:12Z,RearEndCollision,true,Rollover,
b3a8c764-0406-4366-6199-5ff3197eaa79,92c84180-610e-4b88-1361-caad360d230f,2025-09-24T13:26:20Z,AnimalStrike,true,Rollover,
3262db17-0614-4f89-4420-a536a8ddc4e1,545afd87-489a-4178-6f86-93225b185182,2026-02-28T17:15:36Z,RearEndCollision,true,Front,
02fec096-f1ef-469a-7e98-f5f1721b009d,dbc345d8-91de-41cc-6981-1021f0ca8af5,2026-04-01T13:53:50Z,Theft,true,Front,
1b0cf83d-6211-49d6-78df-82973e0b1aad,328464f0-7596-4f19-e6ff-38f0cd53d60f,2026-08-07T16:20:49Z,SideImpact,true,Front,
52fa9ac6-3d65-49d2-5483-7154fc7a955b,1d5a9338-1ac2-4271-b038-b66010c86c67,2026-08-15T21:18:51Z,GlassOnly,true,RightSide,
d393aa14-0e8d-48dc-8484-8860b4dd9b7f,2c64c5a2-20d8-4806-7de5-edc1506ecb1e,2026-02-09T04:24:42Z,Hail,true,Rollover,
f9ebd4cc-33c6-4ef9-7ad6-509ed6bba17b,949938b1-6945-4a01-3250-c255f2b4442e,2026-07-21T01:57:41Z,SideImpact,true,Front,
e0105a12-46b5-40f6-ba2f-cf2bd3a60d8f,7b4be301-5009-4bac-ba95-2875349aaa01,2026-01-23T09:06:29Z,Hail,true,LeftSide,
d8ce52e9-fba8-4bc4-e0e7-ae3565a35fea,dbc345d8-91de-41cc-6981-1021f0ca8af5,2025-06-27T04:24:04Z,RearEndCollision,true,LeftSide,
7a30620d-f561-4a39-6d73-3c6fffc32da8,389eebab-81cc-4869-1403-97ae1c7f236e,2026-02-28T21:23:52Z,ParkedVehicleHit,true,RightSide,
e0f46f4f-6b62-4476-cd9f-7ab2db5d0c64,2c64c5a2-20d8-4806-7de5-edc1506ecb1e,2026-06-19T15:43:01Z,Theft,true,LeftSide,
e6df7e48-0739-4c7d-777f-c684f508abc8,3f277b9c-ab36-48bd-d74f-37138ccdf2f8,2025-12-26T02:35:37Z,RearEndCollision,true,LeftSide,
81965b7d-8900-4abc-1c15-3276d6968a8c,389eebab-81cc-4869-1403-97ae1c7f236e,2026-06-26T20:39:13Z,RearEndCollision,true,Rear,
