loss_event_id,vin
0076c80d-2b56-40a8-875c-9be3823bad4a,1HGCV405ANCHOR1
f69ae056-5b46-46d0-0284-6a1f2988a008,1HG43939007096923
bfb8f71d-9c26-48db-b267-786dfd7595df,1HG66632919316180
53b6bf5f-9d63-452b-da9a-c4a8799f7598,1HG99516415223479
0f650d65-84ac-437d-1cbe-bb42b53bc9d9,1HG37376059824600
e933e2f8-6f4f-41c3-cec4-4e5ea46980e6,1HG37787867430597
bb74a30d-1c99-4462-59ee-a9efb2802e5f,1HG16061502066440
e89b2e79-7f6f-4aa6-a2da-e1d11cf09ecc,1HG70455806027166
35e792ef-1aa3-4be9-7a68-817749913613,1HG18602997995913
0a695a52-4954-4993-8208-cec0363e1973,1HG55888474639505
caf912d5-001d-432f-5e22-00defeabf9a0,1HG73433050583116
194002e4-df72-4f62-d851-7fe86acfab1b,1HG57521622558124
a33bc360-438d-42fd-fd5b-8db456e9e3c3,1HG66632919316180
f258d1b1-7775-4c9e-f0b2-aff3a0bedb69,1HG05456017679534
81e1e61e-696b-4a61-4383-063a2347d953,1HG69815310207195
f70efde1-982f-4c9e-5036-7a9459ab51f4,1HG43783786077983
9a6fa9ae-293e-489b-df1f-946e20b16e23,1HG41224461910314
f2bf152e-f8b7-46dd-83d8-f26b99c79b3e,1HG58382987161166
d5366b54-0ab8-4898-0878-935378321a43,1HG27547304355539
23bf78af-e819-489b-f8c9-af1a806bd5c2,1HG67784502170979
b3a8c764-0406-4366-6199-5ff3197eaa79,1HG24751533707603
3262db17-0614-4f89-4420-a536a8ddc4e1,1HG03349554934538
02fec096-f1ef-469a-7e98-f5f1721b009d,1HG22014972358010
1b0cf83d-6211-49d6-78df-82973e0b1aad,1HG68918336345814
52fa9ac6-3d65-49d2-5483-7154fc7a955b,1HG25801993208006
d393aa14-0e8d-48dc-8484-8860b4dd9b7f,1HG65173161355778
f9ebd4cc-33c6-4ef9-7ad6-509ed6bba17b,1HG11102825636044
e0105a12-46b5-40f6-ba2f-cf2bd3a60d8f,1HG10341232526116
d8ce52e9-fba8-4bc4-e0e7-ae3565a35fea,1HG94858008716255
7a30620d-f561-4a39-6d73-3c6fffc32da8,1HG36275080917403
e0f46f4f-6b62-4476-cd9f-7ab2db5d0c64,1HG67784502170979
e6df7e48-0739-4c7d-777f-c684f508abc8,1HG14148858562111
81965b7d-8900-4abc-1c15-3276d6968a8c,1HG92161830584518
16a9926c-edb7-4600-3135-a782c19e2537,1HG43939007096923
5041f16a-4478-4b0c-0379-816b91f04b11,1HG68918336345814
7ceb5ed5-54af-4862-f979-82eb0e1fadab,1HG27210394223220
942c6ffc-606a-47ee-3abd-793a92cbb0e2,1HG36275080917403
