policy_number,producer_code,issued_state,named_insured_person_id,effective_first_term
CA-AUTO-2025-1000,P484,CA,9b630a14-9b87-4d4b-403a-fd60415b53c7,2025-06-01T00:00:00Z
CA-AUTO-2025-1001,P825,CA,33f989e4-22c3-422a-d54d-653e1074ec17,2025-06-01T00:00:00Z
CA-AUTO-2025-1002,P938,CA,92b42e3c-58fe-4f77-1e8c-8130d6e930a9,2025-06-01T00:00:00Z
CA-AUTO-2025-1003,P814,CA,6befc1f5-f974-4738-dab1-9dc1fd609c17,2025-06-01T00:00:00Z
CA-AUTO-2025-1004,P517,CA,36984733-e34c-466d-643e-38a17544d1c9,2025-06-01T00:00:00Z
CA-AUTO-2025-1005,P813,CA,45ab1d21-bbec-4dca-568f-3734497b457d,2025-06-01T00:00:00Z
CA-AUTO-2025-1006,P282,CA,20201d3c-85f8-4c93-2819-8718fb8ec2d5,2025-06-01T00:00:00Z
CA-AUTO-2025-1007,P969,CA,c4cb8992-b546-44af-6f78-cce0c479c07d,2025-06-01T00:00:00Z
CA-AUTO-2025-1008,P839,CA,80a40a0c-f2cf-4cda-656d-6cc36c5f5cd0,2025-06-01T00:00:00Z
CA-AUTO-2025-1009,P512,CA,591f4ef1-b909-4bd5-f1b4-4739f61b7970,2025-06-01T00:00:00Z
CA-AUTO-2025-1010,P272,CA,edbcb061-62f1-4840-924e-beb01671b566,2025-06-01T00:00:00Z
CA-AUTO-2025-1011,P920,CA,7ee7c010-bd1b-4eab-5ebc-25be729ea82c,2025-06-01T00:00:00Z
CA-AUTO-2025-1012,P459,CA,fb4be76b-4c7e-420b-26af-35961e43c2f0,2025-06-01T00:00:00Z
CA-AUTO-2025-1013,P280,CA,b743d060-9523-4e55-ddfa-7f0e3c57a23f,2025-06-01T00:00:00Z
CA-AUTO-2025-1014,P474,CA,5cc89487-212b-48e1-2278-a316c56a4bb7,2025-06-01T00:00:00Z
CA-AUTO-2025-1015,P253,CA,f132fd50-9ae7-45fd-35c1-3c90c957f8c7,2025-06-01T00:00:00Z
CA-AUTO-2025-1016,P544,CA,3aa01b6e-81ba-440e-593d-94997854b6c5,2025-06-01T00:00:00Z
CA-AUTO-2025-1017,P698,CA,e41e746d-5f00-4c6e-771e-260a435303da,2025-06-01T00:00:00Z
CA-AUTO-2025-1018,P364,CA,c4cb8992-b546-44af-6f78-cce0c479c07d,2025-06-01T00:00:00Z
CA-AUTO-2025-1019,P635,CA,96b130d1-86eb-46e7-1ae9-ce51f4b5deb9,2025-06-01T00:00:00Z
CA-AUTO-2025-1020,P380,CA,025633d9-2661-41bf-dd11-6d62ba5ad689,2025-06-01T00:00:00Z
CA-AUTO-2025-1021,P750,CA,9b630a14-9b87-4d4b-403a-fd60415b53c7,2025-06-01T00:00:00Z
CA-AUTO-2025-1022,P845,CA,fbd65a49-bbf2-43de-de60-ea366f7779e6,2025-06-01T00:00:00Z
CA-AUTO-2025-1023,P231,CA,725251ad-1227-4c68-7f0f-d02017c8e947,2025-06-01T00:00:00Z
CA-AUTO-2025-1024,P399,CA,7ee6786b-6a83-4de5-b8c0-bda3963dbe13,2025-06-01T00:00:00Z
CA-AUTO-2025-1025,P465,CA,96b130d1-86eb-46e7-1ae9-ce51f4b5deb9,2025-06-01T00:00:00Z
CA-AUTO-2025-1026,P989,CA,b8a40978-b0e4-4707-8f15-c729c21aec9a,2025-06-01T00:00:00Z
CA-AUTO-2025-1027,P567,CA,bcdb5fec-889b-4795-2395-429b0b470692,2025-06-01T00:00:00Z
CA-AUTO-2025-1028,P812,CA,7425c89c-bb3d-4a7c-b5fd-a3fd38c0744b,2025-06-01T00:00:00Z
CA-AUTO-2025-1029,P896,CA,30ab375a-d452-47bd-cac7-7a2ca740301a,2025-06-01T00:00:00Z
CA-AUTO-2025-1030,P897,CA,d1eae42b-c8d2-4732-6635-95f5c067cb30,2025-06-01T00:00:00Z
CA-AUTO-2025-1031,P578,CA,99bf8016-a624-4d3f-e845-6609293107dd,2025-06-01T00:00:00Z
CA-AUTO-2025-1032,P845,CA,6b2c3c08-b621-42a5-dc95-0f11c7a544fb,2025-06-01T00:00:00Z
CA-AUTO-2025-1033,P562,CA,91687eb7-41a5-4bad-1a17-4c8d85cfca36,2025-06-01T00:00:00Z
CA-AUTO-2025-1034,P800,CA,8887c111-fb9c-43bc-a3f7-af224cb1554b,2025-06-01T00:00:00Z
