term_id,policy_number,effective_from,effective_to,premium_total,rating_tier,status
3209068d-a3dd-4068-6b82-af8bb6c2bf07,CA-AUTO-2025-1035,2025-08-23T00:00:00Z,2026-08-23T00:00:00Z,1725.61,Pref,InForce
cc0ace92-683a-4ecc-4374-97ab75fee095,CA-AUTO-2025-1115,2025-06-12T00:00:00Z,2026-06-12T00:00:00Z,2218.22,Pref,InForce
65af624f-fa69-44f3-4dc1-a38b0e249ed4,CA-AUTO-2025-1032,2025-06-05T00:00:00Z,2026-06-05T00:00:00Z,2228.31,Pref,InForce
bce89f06-e7bc-41fc-1aef-4199cc37a156,CA-AUTO-2025-1097,2025-09-24T00:00:00Z,2026-09-24T00:00:00Z,1165.09,NonStd,InForce
1d3d724b-9f8e-4171-cbfc-5f4a7c53e59e,CA-AUTO-2025-1078,2025-06-05T00:00:00Z,2026-06-05T00:00:00Z,1169.58,Std,InForce
93bbc29e-9658-44c1-18cd-b9f0b1d9e862,CA-AUTO-2025-1020,2025-06-21T00:00:00Z,2026-06-21T00:00:00Z,2375.55,Pref,InForce
6bf00f27-6e68-4709-9b58-8e88c7cc28ec,CA-AUTO-2025-1054,2025-07-09T00:00:00Z,2026-07-09T00:00:00Z,1349.82,Pref,InForce
31178cbc-2e0e-4786-4a8f-64f9808f17f8,CA-AUTO-2025-1012,2025-08-25T00:00:00Z,2026-08-25T00:00:00Z,1444.25,Std,InForce
aa3185d6-9ad3-4bb0-abe0-bfc44cd1741c,CA-AUTO-2025-1007,2025-06-09T00:00:00Z,2026-06-09T00:00:00Z,2149.38,NonStd,InForce
396c0a07-919e-4958-3fd6-4b8e6a207379,CA-AUTO-2025-1081,2025-08-04T00:00:00Z,2026-08-04T00:00:00Z,1164.58,Std,InForce
94984395-0c9e-4759-d272-234f79eae14b,CA-AUTO-2025-1117,2025-09-17T00:00:00Z,2026-09-17T00:00:00Z,1378.91,NonStd,InForce
ed11ab29-36a4-40bd-d185-0e4a2db43d73,CA-AUTO-2025-1091,2025-09-05T00:00:00Z,2026-09-05T00:00:00Z,1298.46,Pref,InForce
7cc56cea-8174-4593-f19c-b6ac1fe17a3d,CA-AUTO-2025-1077,2025-08-22T00:00:00Z,2026-08-22T00:00:00Z,1718.43,Pref,InForce
ec8248b5-4a51-4156-5bc6-4b82e6d77784,CA-AUTO-2025-1062,2025-06-01T00:00:00Z,2026-06-01T00:00:00Z,1439.56,Std,InForce
018d59a0-8777-4a70-f01f-de64c595eab1,CA-AUTO-2025-1104,2025-06-28T00:00:00Z,2026-06-28T00:00:00Z,1043.25,NonStd,InForce
38576b09-4b98-4bc9-9046-370d8d3a5875,CA-AUTO-2025-1065,2025-08-23T00:00:00Z,2026-08-23T00:00:00Z,1651.99,Std,InForce
846233ea-2aba-4b37-8b81-aa20b0f29bd4,CA-AUTO-2025-1006,2025-06-28T00:00:00Z,2026-06-28T00:00:00Z,2066.78,Pref,InForce
e8dbf60a-e3c4-4bad-5c06-3a3a7b45b859,CA-AUTO-2025-1104,2025-06-03T00:00:00Z,2026-06-03T00:00:00Z,2234.4,Std,InForce
8ce36dc1-8926-4128-b2b4-2ae421382abc,CA-AUTO-2025-1015,2025-09-25T00:00:00Z,2026-09-25T00:00:00Z,2004.81,NonStd,InForce
19424852-8fc0-40e4-cb5f-bac34b88bf06,CA-AUTO-2025-1066,2025-08-15T00:00:00Z,2026-08-15T00:00:00Z,1079.76,NonStd,InForce
3e89c2ea-b364-43a8-de37-4a4edfdb2c2c,CA-AUTO-2025-1097,2025-09-29T00:00:00Z,2026-09-29T00:00:00Z,1265.2,Std,InForce
