evaluation_id,vin,claim_number,repair_cost_estimate,actual_cash_value,total_loss_ratio,total_loss_probability,recommendation
566b4f02-a05e-4969-b12e-e71af031c161,1HGCV405ANCHOR1,CA-2026-0000123,6731.55,9250,0.728,0.71,total-loss-probable
ee0f7eaf-a4db-4114-8fa0-802cf597ff90,1HG43939007096923,CA-2026-1000001,26822.34,29475.09,0.91,0.88,total-loss-probable
ea8a884b-c3e0-4e5b-3192-561e981fbca8,1HG66632919316180,CA-2026-1000002,2548.45,13240.53,0.192,0.19,repair
cd7dd579-d02f-4672-07ed-4d9769ca4fd6,1HG99516415223479,CA-2026-1000003,817.54,28662.83,0.029,0,repair
d35f3ee3-b1ff-41fa-4f87-588b19afb420,1HG37376059824600,CA-2026-1000004,10539.24,11581.58,0.91,0.89,total-loss-probable
45b34356-feb7-4eb7-cefb-da131d3859ff,1HG37787867430597,CA-2026-1000005,3200,11712.6,0.273,0.24,repair
688ba07f-15a1-4ef0-f806-834b4168ca24,1HG16061502066440,CA-2026-1000006,7363.95,7363.96,1,0.98,total-loss-probable
966e132e-16bd-4b61-4642-d270b4e1b7b7,1HG70455806027166,CA-2026-1000007,2839.47,14053.58,0.202,0.19,repair
6920ee13-1283-49af-9fa0-e145d51e32e3,1HG18602997995913,CA-2026-1000008,7743.3,25309.55,0.306,0.26,repair
c8ea6556-d8a8-431a-7219-0b39138085b8,1HG55888474639505,CA-2026-1000009,2978.81,18873.09,0.158,0.15,repair
d9df83ba-d271-4e58-a68d-8333b369aa93,1HG73433050583116,CA-2026-1000010,7125.29,9899.87,0.72,0.64,repair
9b74741e-16a7-403e-7029-201cf14e5e76,1HG57521622558124,CA-2026-1000011,4579.1,30268.02,0.151,0.15,repair
2ce9eeb3-43f0-493b-9dbf-cdd6917ce973,1HG66632919316180,CA-2026-1000012,6591.21,13240.53,0.498,0.43,repair
7b6d93b4-5dbb-4e90-3168-d1926adcb2f8,1HG05456017679534,CA-2026-1000013,3273.44,26772.79,0.122,0.11,repair
6a4b4b91-d4dd-41ce-acb8-3d285ece2eab,1HG69815310207195,CA-2026-1000014,7492.34,21426.24,0.35,0.3,repair
fd5fcdb6-6a6c-4974-7e71-b56d25c66a5a,1HG43783786077983,CA-2026-1000015,2425.1,10858.71,0.223,0.26,repair
daf703d9-cae3-43b9-1a99-2b22b639a68c,1HG41224461910314,CA-2026-1000016,9236.54,16021.91,0.576,0.56,repair
99106220-345f-4d92-ab6c-7abc571f88d5,1HG58382987161166,CA-2026-1000017,6250.57,11742.45,0.532,0.47,repair
53faa56d-4a2e-4c69-7f1a-2cffbb50fbee,1HG27547304355539,CA-2026-1000018,1576.94,28536.45,0.055,0.08,repair
6cc74658-0f76-48b5-5c87-497cc3261cf3,1HG67784502170979,CA-2026-1000019,9556.28,21947.29,0.435,0.44,repair
046c8d10-9397-4402-2fcb-2a0634c7cf2b,1HG24751533707603,CA-2026-1000020,4373.46,6191.77,0.706,0.68,repair
6f03d6c7-4bba-4929-b67a-78027ee6f95c,1HG03349554934538,CA-2026-1000021,24386.4,27400.45,0.89,0.9,total-loss-probable
624d165b-1b03-4758-0348-f8e6c611b066,1HG22014972358010,CA-2026-1000022,4590.42,21793.29,0.211,0.17,repair
a23d6328-7be0-442e-fbf6-57b156f3d285,1HG68918336345814,CA-2026-1000023,2558.44,24614.32,0.104,0.09,repair
591dae35-39ac-490c-e8d7-7a181c7f2edc,1HG25801993208006,CA-2026-1000024,3377.82,25757.32,0.131,0.15,repair
0b3f7c68-e4b2-4c91-a668-cd8e665fc2a1,1HG65173161355778,CA-2026-1000025,1435.51,11914.47,0.12,0.08,repair
22e97a39-84a2-41fa-09a4-81f7f43f7cf7,1HG11102825636044,CA-2026-1000026,4469.88,11093.32,0.403,0.37,repair
dd16d7f4-ccff-4a21-28a4-29f52d141e1f,1HG10341232526116,CA-2026-1000027,8159.84,27823.32,0.293,0.26,repair
d7b18796-6aaf-4880-5aa7-2486cec8cbc7,1HG94858008716255,CA-2026-1000028,1785.92,16108.07,0.111,0.08,repair
6c9d0327-44b6-49fc-1fd0-7d70b3d5b8ff,1HG36275080917403,CA-2026-1000029,5894.32,25350.2,0.233,0.22,repair
f48df54e-dd1b-49b2-60ea-289f2753eadf,1HG67784502170979,CA-2026-1000030,6424.02,21947.29,0.293,0.29,repair
a47cf602-c6f4-46d3-6806-2279fb087865,1HG14148858562111,CA-2026-1000031,3819.36,18178.66,0.21,0.16,repair
