vin,owner_person_id,year,make,model,trim,body_style,current_odometer,acv
1HG70138989249244,8887c111-fb9c-43bc-a3f7-af224cb1554b,2018,Honda,CR-V,,Truck,78922,16979.33
1HG61011955747380,96f93542-3ead-40b4-c857-7210347a12d2,2019,Nissan,Sentra,Sport,SUV,49772,29832
1HG77979300869628,b743d060-9523-4e55-ddfa-7f0e3c57a23f,2018,Toyota,Corolla,Sport,Hatchback,52281,28397.64
1HG30311438417993,6426f65f-a06c-4b34-7eb3-fe312903d5b0,2020,Honda,Accord,LE,Van,6028,28078.59
1HG20497353374958,6ca75355-2145-4fd9-331c-c1497fc2c914,2018,Ford,Escape,SE,Truck,71025,20280.68
1HG59776019491255,48b3f18b-b1fe-4e11-d586-8e5aed57b0b1,2015,Honda,Accord,SE,Van,79214,12435.65
1HG01378562534227,5285bddd-4b71-41f2-5da5-80f80155cd91,2022,Toyota,Camry,LE,SUV,89248,22204.25
1HG59163695294409,a069ca03-332d-48c3-3443-9fb142378454,2014,Nissan,Rogue,SE,Coupe,139268,24345.18
1HG78279062849469,7c472bea-46b5-4939-1075-72a6078112ad,2018,Chevrolet,Cruze,LE,Hatchback,68119,22199.08
1HG10587657080031,acb46c23-53a7-46ec-16c9-03a149626bd2,2018,Chevrolet,Equinox,LE,Hatchback,95706,8142.56
1HG91625542240217,8a0f6284-5e12-42f7-118f-e4b372ad0c12,2016,Toyota,Corolla,SE,Coupe,17804,16315.96
1HG70352865802124,2c5c0ed7-00de-400f-0f94-355a6fa423a2,2024,Chevrolet,Malibu,LX,Coupe,133968,6126.33
1HG25801993208006,6d865807-7ef8-4187-710e-b003045de057,2022,Toyota,Camry,Sport,Van,61895,25757.32
1HG56562631647102,56cd6ac4-7dff-4be2-1c05-e48962b0b864,2023,Honda,CR-V,LX,Hatchback,84575,10345.06
1HG05481727398000,7ee6786b-6a83-4de5-b8c0-bda3963dbe13,2014,Honda,Accord,Sport,Sedan,81688,15297.42
1HG05456017679534,51c34ce4-d652-4c17-42c1-0826e485c406,2024,Ford,Fusion,LX,Van,11396,26772.79
1HG30108438595198,96f93542-3ead-40b4-c857-7210347a12d2,2017,Chevrolet,Cruze,,Coupe,35155,31698.84
1HG43939007096923,7c472bea-46b5-4939-1075-72a6078112ad,2018,Ford,Escape,LX,Van,100959,29475.09
1HG67784502170979,7f780f35-af0e-4c3f-477a-621e1029039b,2015,Nissan,Rogue,EX,Truck,20935,21947.29
1HG80096454545855,67a6bb11-7a2f-4dbe-1b2f-129be7310bd0,2020,Ford,Fusion,,Hatchback,31650,6097.51
1HG99516415223479,a277f9bd-5c41-4879-3518-679c03a0f070,2019,Ford,Fusion,LX,Hatchback,95873,28662.83
1HG08322012796998,2a16b74f-3eef-4a91-03a2-098e79410382,2018,Ford,Focus,LX,Coupe,15923,21246.88
1HG04242364852689,be8ec9fb-50d8-4432-8e87-869b81215849,2024,Toyota,Camry,LX,Coupe,21932,30529.55
1HG20675559132359,7922f2cb-244e-4a44-37da-d28fab0bbb7f,2019,Chevrolet,Malibu,SE,Van,42127,20948.05
1HG46375511237420,8887c111-fb9c-43bc-a3f7-af224cb1554b,2017,Ford,Fusion,LX,Truck,46313,28995.59
1HG27210394223220,8a48fdca-d462-42f6-d1c7-a29c5ba2f192,2024,Honda,Civic,LX,Coupe,65762,30147.81
1HG41224461910314,3aef139e-7a4e-4872-80d6-d6e1dbfd2efc,2016,Honda,Civic,LE,Sedan,83394,16021.91
1HG17486151936464,f132fd50-9ae7-45fd-35c1-3c90c957f8c7,2014,Honda,Accord,SE,Hatchback,7837,24520.16
1HG47920566797256,9e3bc682-2642-4df1-95ec-60b27da85e63,2016,Toyota,Corolla,Sport,Van,98095,28853.29
1HG31061565526761,2fb319e6-68a7-4f61-4de3-f11a9ed6e49a,2022,Ford,Focus,,Truck,6089,7400.48
1HG53761881659738,86eed99b-0930-4d3f-e3b4-e1901831fadf,2022,Toyota,Corolla,Sport,Van,35396,13028.61
1HG56416249321773,20a3e4cd-d3d1-46c3-e887-1beb85a165ce,2021,Toyota,Corolla,LX,Hatchback,70318,20043.12
1HG73683902551420,4f3ef00f-fd55-4393-b15c-c71de4d3484d,2019,Ford,Escape,SE,Van,88809,31445.63
1HG49837782932445,050d01f5-27a3-4dcb-522c-f5283125f4a0,2018,Honda,Civic,,Coupe,62483,27296.52
1HG47073742840439,48b3f18b-b1fe-4e11-d586-8e5aed57b0b1,2017,Nissan,Altima,,Hatchback,5020,22169.28
1HG23685072269290,88953a47-2487-4a87-d7e9-600aebf539cb,2014,Honda,Accord,EX,Sedan,128255,13295.99
1HG32921946630813,07bcdf65-0180-45f5-da90-4ed9f4797e56,2023,Nissan,Altima,,Van,89805,21308.92
1HG47493818006478,16cdf939-c39e-4de2-953d-c7d9c939193b,2015,Ford,Fusion,,Hatchback,120184,17221.67
1HG69933107472024,1049771d-e9e0-4feb-c2e0-0d02b47552e4,2015,Chevrolet,Equinox,,Sedan,106552,16285.57
1HG48016632138751,35b1e312-1279-4773-9ea7-d90f699cf67f,2022,Ford,Focus,,Van,139555,23143.03
1HG31470638769678,b743d060-9523-4e55-ddfa-7f0e3c57a23f,2021,Nissan,Altima,EX,Coupe,93620,14686.53
1HG22564258193597,03a5c291-c96f-427a-3be1-6fe21c5dbfdd,2019,Chevrolet,Cruze,SE,SUV,115259,13151.89
