damage_id,vin,claim_number,estimate_amount,is_driveable,is_total_loss,repair_facility_id
9e0adab0-d556-40dd-7a33-1b8118fc5f43,1HGCV405ANCHOR1,CA-2026-0000123,6731.55,false,true,RF-991
1bc06af1-cab5-4e61-49b8-a891b38e9a63,1HG43939007096923,CA-2026-1000001,26822.34,false,true,RF-599
95410b1e-3b02-420c-b9de-30017b5d8fac,1HG66632919316180,CA-2026-1000002,2548.45,true,false,RF-276
44f7e8a1-6429-4895-2aac-820b33dce042,1HG99516415223479,CA-2026-1000003,817.54,true,false,RF-665
d4e4b757-23b2-4e72-05de-467a8beb0f16,1HG37376059824600,CA-2026-1000004,10539.24,false,true,RF-956
bc7c3602-b4ab-4dbe-1ecb-83c216659e7e,1HG37787867430597,CA-2026-1000005,3200,true,false,RF-673
c5a720e5-c735-4995-3989-f20e1281c0be,1HG16061502066440,CA-2026-1000006,7363.95,false,true,RF-733
cab53dd0-0647-4678-db8d-ba98b7e5013f,1HG70455806027166,CA-2026-1000007,2839.47,true,false,RF-881
590b5833-9e3a-4346-a44f-450fec733921,1HG18602997995913,CA-2026-1000008,7743.3,true,false,RF-648
e03b9852-3e22-4e6f-6dc8-5e05454b877f,1HG55888474639505,CA-2026-1000009,2978.81,true,false,RF-285
a02cf8a6-26ff-4900-8b91-bdaa3140c630,1HG73433050583116,CA-2026-1000010,7125.29,true,false,RF-523
a8960aaf-075c-4c88-d7f0-d182cade240d,1HG57521622558124,CA-2026-1000011,4579.1,true,false,RF-491
4652b0b4-eaa5-441c-9b63-eb57083fcc84,1HG66632919316180,CA-2026-1000012,6591.21,true,false,RF-600
7cbe6c4b-85b3-48a7-5d83-6bc94434cb9b,1HG05456017679534,CA-2026-1000013,3273.44,true,false,RF-358
7fa0b8e8-368c-4c0b-5196-aac25f79f21b,1HG69815310207195,CA-2026-1000014,7492.34,true,false,RF-675
1b606ca9-4a52-426e-8bd8-5fa3c0451089,1HG43783786077983,CA-2026-1000015,2425.1,true,false,RF-288
06cb6861-f54a-465f-0559-272b3b25d1db,1HG41224461910314,CA-2026-1000016,9236.54,true,false,RF-139
2c84e312-0738-4ec3-0dc7-aab7a06875b5,1HG58382987161166,CA-2026-1000017,6250.57,true,false,RF-962
063d1ae5-75a1-4f2b-2a42-4e73b455bfee,1HG27547304355539,CA-2026-1000018,1576.94,true,false,RF-239
dfa84043-8ec0-4a10-4cce-89152259e679,1HG67784502170979,CA-2026-1000019,9556.28,true,false,RF-229
33845955-f99d-42d0-06c7-5828d6c9e61d,1HG24751533707603,CA-2026-1000020,4373.46,true,false,RF-250
dbc885e3-2cff-4a08-c24f-47d5b4d49898,1HG03349554934538,CA-2026-1000021,24386.4,false,true,RF-102
d4dbb013-21fc-41f3-1999-b1d1d0ef58b3,1HG22014972358010,CA-2026-1000022,4590.42,true,false,RF-528
9c48e62a-45e2-4778-2d4f-240d6d93c5e3,1HG68918336345814,CA-2026-1000023,2558.44,true,false,RF-228
46743f18-7c9d-46ae-87ee-051170840b6e,1HG25801993208006,CA-2026-1000024,3377.82,true,false,RF-701
